,product_link,product_name,body_dimension,pname_dimension
0,https://www.nike.com/in/t/pg-6-ep-basketball-shoes-9KkDtr/DH8447-001,PG 6 EP,"{'x': 0, 'y': 0, 'height': 3095, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
1,https://www.nike.com/in/t/jordan-sport-dna-graphic-t-shirt-1CbScp/DM1456-010,Jordan Sport DNA,"{'x': 0, 'y': 0, 'height': 3037, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
2,https://www.nike.com/in/t/air-max-95-shoes-fk6w0s/DQ3430-001,Nike Air Max 95,"{'x': 0, 'y': 0, 'height': 3702, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
3,https://www.nike.com/in/t/jordan-air-jordan-fleece-hoodie-v3J5HK/DO6094-612,"Jordan ""Air Jordan""","{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
4,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-rTFHwQ/CT2392-006,Nike Zoom Fly 4,"{'x': 0, 'y': 0, 'height': 3233, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
5,https://www.nike.com/in/t/jordan-essentials-t-shirt-JQXCdV/DM1436-133,Jordan Essentials,"{'x': 0, 'y': 0, 'height': 2957, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
6,https://www.nike.com/in/t/sb-ishod-wair-skate-shoes-gH9qC4/DM0752-002,Nike SB Ishod Wair Premium,"{'x': 0, 'y': 0, 'height': 3076, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
7,https://www.nike.com/in/t/sb-skate-shorts-3qcVQp/DH2940-010,Nike SB,"{'x': 0, 'y': 0, 'height': 2882, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
8,https://www.nike.com/in/t/sb-zoom-blazer-low-pro-gt-skate-shoes-xMq2vr/DM8890-400,Nike SB Zoom Blazer Low Pro GT Premium,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
9,https://www.nike.com/in/t/blazer-low-77-jumbo-shoes-mvhvNn/DQ8768-100,Nike Blazer Low '77 Jumbo,"{'x': 0, 'y': 0, 'height': 3048, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
10,https://www.nike.com/in/t/sportswear-woven-jacket-tMC7wB/DV0531-086,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
11,https://www.nike.com/in/t/kyrie-infinity-ep-basketball-shoes-QJ01t9/DC9134-102,Kyrie Infinity EP,"{'x': 0, 'y': 0, 'height': 3075, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
12,https://www.nike.com/in/t/sportswear-short-sleeve-top-L3Tchg/DM5063-113,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2804, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
13,https://www.nike.com/in/t/air-french-terry-shorts-WF9kZN/DM5212-012,Nike Air,"{'x': 0, 'y': 0, 'height': 2882, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
14,https://www.nike.com/in/t/jordan-essentials-diamond-mesh-shorts-5bskxq/DM1367-010,Jordan Essentials,"{'x': 0, 'y': 0, 'height': 3071, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
15,https://www.nike.com/in/t/jordan-xii-g-golf-shoes-bwb9kV/DM0106-117,Jordan XII G,"{'x': 0, 'y': 0, 'height': 2965, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
16,https://www.nike.com/in/t/sportswear-t-shirt-0w7Qrb/DQ1054-100,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2800, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
17,https://www.nike.com/in/t/2-in-1-shorts-ScqnT4/DC5321-712,Nike,"{'x': 0, 'y': 0, 'height': 2990, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
18,https://www.nike.com/in/t/air-zoom-terra-kiger-8-trail-running-shoes-gVwLbV/DH0649-300,Nike Air Zoom Terra Kiger 8,"{'x': 0, 'y': 0, 'height': 3123, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
19,https://www.nike.com/in/t/sacai-blazer-low-shoes-gBslFL/DM6443-001,Nike x sacai Blazer Low,"{'x': 0, 'y': 0, 'height': 3937, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
20,https://www.nike.com/in/t/basketball-t-shirt-Rt8lZX/DQ1906-133,Nike,"{'x': 0, 'y': 0, 'height': 2960, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
21,https://www.nike.com/in/t/dri-fit-uv-27cm-golf-chino-shorts-lrFdWm/DA4140-297,Nike Dri-FIT UV,"{'x': 0, 'y': 0, 'height': 2880, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
22,https://www.nike.com/in/t/dunk-low-retro-shoes-DNshFj/DH0601-001,Nike Dunk Low Retro Premium,"{'x': 0, 'y': 0, 'height': 2998, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
23,https://www.nike.com/in/t/repel-miler-running-jacket-Pprnvp/DD4747-010,Nike Repel Miler,"{'x': 0, 'y': 0, 'height': 3118, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
24,https://www.nike.com/in/t/pg-6-ep-basketball-shoes-9KkDtr/DH8447-001,PG 6 EP,"{'x': 0, 'y': 0, 'height': 3047, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
25,https://www.nike.com/in/t/jordan-sport-dna-graphic-t-shirt-1CbScp/DM1456-010,Jordan Sport DNA,"{'x': 0, 'y': 0, 'height': 2989, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
26,https://www.nike.com/in/t/air-max-95-shoes-fk6w0s/DQ3430-001,Nike Air Max 95,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
27,https://www.nike.com/in/t/jordan-air-jordan-fleece-hoodie-v3J5HK/DO6094-612,"Jordan ""Air Jordan""","{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
28,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-rTFHwQ/CT2392-006,Nike Zoom Fly 4,"{'x': 0, 'y': 0, 'height': 3875, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
29,https://www.nike.com/in/t/jordan-essentials-t-shirt-JQXCdV/DM1436-133,Jordan Essentials,"{'x': 0, 'y': 0, 'height': 2957, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
30,https://www.nike.com/in/t/sb-ishod-wair-skate-shoes-gH9qC4/DM0752-002,Nike SB Ishod Wair Premium,"{'x': 0, 'y': 0, 'height': 3076, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
31,https://www.nike.com/in/t/sb-skate-shorts-3qcVQp/DH2940-010,Nike SB,"{'x': 0, 'y': 0, 'height': 2882, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
32,https://www.nike.com/in/t/sb-zoom-blazer-low-pro-gt-skate-shoes-xMq2vr/DM8890-400,Nike SB Zoom Blazer Low Pro GT Premium,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
33,https://www.nike.com/in/t/blazer-low-77-jumbo-shoes-mvhvNn/DQ8768-100,Nike Blazer Low '77 Jumbo,"{'x': 0, 'y': 0, 'height': 3000, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
34,https://www.nike.com/in/t/sportswear-woven-jacket-tMC7wB/DV0531-086,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
35,https://www.nike.com/in/t/kyrie-infinity-ep-basketball-shoes-QJ01t9/DC9134-102,Kyrie Infinity EP,"{'x': 0, 'y': 0, 'height': 3075, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
36,https://www.nike.com/in/t/sportswear-short-sleeve-top-L3Tchg/DM5063-113,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2852, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
37,https://www.nike.com/in/t/air-french-terry-shorts-WF9kZN/DM5212-012,Nike Air,"{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
38,https://www.nike.com/in/t/jordan-essentials-diamond-mesh-shorts-5bskxq/DM1367-010,Jordan Essentials,"{'x': 0, 'y': 0, 'height': 3071, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
39,https://www.nike.com/in/t/jordan-xii-g-golf-shoes-bwb9kV/DM0106-117,Jordan XII G,"{'x': 0, 'y': 0, 'height': 2965, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
40,https://www.nike.com/in/t/sportswear-t-shirt-0w7Qrb/DQ1054-100,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2800, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
41,https://www.nike.com/in/t/2-in-1-shorts-ScqnT4/DC5321-712,Nike,"{'x': 0, 'y': 0, 'height': 3038, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
42,https://www.nike.com/in/t/air-zoom-terra-kiger-8-trail-running-shoes-gVwLbV/DH0649-300,Nike Air Zoom Terra Kiger 8,"{'x': 0, 'y': 0, 'height': 3123, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
43,https://www.nike.com/in/t/sacai-blazer-low-shoes-gBslFL/DM6443-001,Nike x sacai Blazer Low,"{'x': 0, 'y': 0, 'height': 3257, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
44,https://www.nike.com/in/t/basketball-t-shirt-Rt8lZX/DQ1906-133,Nike,"{'x': 0, 'y': 0, 'height': 2960, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
45,https://www.nike.com/in/t/dri-fit-uv-27cm-golf-chino-shorts-lrFdWm/DA4140-297,Nike Dri-FIT UV,"{'x': 0, 'y': 0, 'height': 2880, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
46,https://www.nike.com/in/t/dunk-low-retro-shoes-DNshFj/DH0601-001,Nike Dunk Low Retro Premium,"{'x': 0, 'y': 0, 'height': 2950, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
47,https://www.nike.com/in/t/repel-miler-running-jacket-Pprnvp/DD4747-010,Nike Repel Miler,"{'x': 0, 'y': 0, 'height': 3118, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
48,https://www.nike.com/in/t/air-force-1-07-shoe-WrLlWX/CW2288-111,Nike Air Force 1 '07,"{'x': 0, 'y': 0, 'height': 3284, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
49,https://www.nike.com/in/t/air-force-1-07-craft-shoe-RxBngv/CN2873-101,Nike Air Force 1 '07 Craft,"{'x': 0, 'y': 0, 'height': 3285, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
50,https://www.nike.com/in/t/dunk-low-retro-shoes-DNshFj/DH0601-001,Nike Dunk Low Retro Premium,"{'x': 0, 'y': 0, 'height': 2998, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
51,https://www.nike.com/in/t/dunk-high-retro-se-shoes-tXRLdK/DD3359-001,Nike Dunk High Retro SE,"{'x': 0, 'y': 0, 'height': 3072, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
52,https://www.nike.com/in/t/blazer-mid-77-vintage-shoe-dNWPTj/BQ6806-117,Nike Blazer Mid '77 Vintage,"{'x': 0, 'y': 0, 'height': 3045, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
53,https://www.nike.com/in/t/air-max-90-slide-bPJh33/BQ4635-002,Nike Air Max 90,"{'x': 0, 'y': 0, 'height': 2938, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
54,https://www.nike.com/in/t/air-max-90-g-golf-shoe-qlD3wL/CU9978-002,Nike Air Max 90 G,"{'x': 0, 'y': 0, 'height': 3285, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
55,https://www.nike.com/in/t/air-force-1-luxe-shoes-651TPJ/DD9605-100,Nike Air Force 1 Luxe,"{'x': 0, 'y': 0, 'height': 3202, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
56,https://www.nike.com/in/t/air-jordan-xii-low-golf-shoes-GpK0Fl/DH4120-100,Air Jordan XII Low,"{'x': 0, 'y': 0, 'height': 3127, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
57,https://www.nike.com/in/t/zoomx-vaporfly-next-2-road-racing-shoes-D4ntS0/CU4111-002,Nike ZoomX Vaporfly Next% 2,"{'x': 0, 'y': 0, 'height': 3285, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
58,https://www.nike.com/in/t/sb-force-58-skate-shoe-HNFTvl/CZ2959-001,Nike SB Force 58,"{'x': 0, 'y': 0, 'height': 3205, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
59,https://www.nike.com/in/t/pg-6-ep-basketball-shoes-9KkDtr/DH8447-001,PG 6 EP,"{'x': 0, 'y': 0, 'height': 3095, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
60,https://www.nike.com/in/t/air-max-95-shoes-fk6w0s/DQ3430-001,Nike Air Max 95,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
61,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-rTFHwQ/CT2392-006,Nike Zoom Fly 4,"{'x': 0, 'y': 0, 'height': 3233, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
62,https://www.nike.com/in/t/sb-ishod-wair-skate-shoes-gH9qC4/DM0752-002,Nike SB Ishod Wair Premium,"{'x': 0, 'y': 0, 'height': 3076, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
63,https://www.nike.com/in/t/sb-zoom-blazer-low-pro-gt-skate-shoes-xMq2vr/DM8890-400,Nike SB Zoom Blazer Low Pro GT Premium,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
64,https://www.nike.com/in/t/blazer-low-77-jumbo-shoes-mvhvNn/DQ8768-100,Nike Blazer Low '77 Jumbo,"{'x': 0, 'y': 0, 'height': 3048, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
65,https://www.nike.com/in/t/kyrie-infinity-ep-basketball-shoes-QJ01t9/DC9134-102,Kyrie Infinity EP,"{'x': 0, 'y': 0, 'height': 3075, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
66,https://www.nike.com/in/t/jordan-xii-g-golf-shoes-bwb9kV/DM0106-117,Jordan XII G,"{'x': 0, 'y': 0, 'height': 2965, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
67,https://www.nike.com/in/t/air-zoom-terra-kiger-8-trail-running-shoes-gVwLbV/DH0649-300,Nike Air Zoom Terra Kiger 8,"{'x': 0, 'y': 0, 'height': 3123, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
68,https://www.nike.com/in/t/sacai-blazer-low-shoes-gBslFL/DM6443-001,Nike x sacai Blazer Low,"{'x': 0, 'y': 0, 'height': 3257, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
69,https://www.nike.com/in/t/mercurial-vapor-14-academy-mg-multi-ground-football-boot-tPZz5n/DJ2869-054,Nike Mercurial Vapor 14 Academy MG,"{'x': 0, 'y': 0, 'height': 3047, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
70,https://www.nike.com/in/t/mercurial-superfly-8-academy-tf-football-shoes-ZksGrH/DJ2878-054,Nike Mercurial Superfly 8 Academy TF,"{'x': 0, 'y': 0, 'height': 3095, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
71,https://www.nike.com/in/t/zoomx-invincible-run-flyknit-2-road-running-shoes-xrCMmF/DH5425-002,Nike ZoomX Invincible Run Flyknit 2,"{'x': 0, 'y': 0, 'height': 3206, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
72,https://www.nike.com/in/t/pg-6-ep-basketball-shoes-9KkDtr/DH8447-001,PG 6 EP,"{'x': 0, 'y': 0, 'height': 3095, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
73,https://www.nike.com/in/t/jordan-sport-dna-graphic-t-shirt-1CbScp/DM1456-010,Jordan Sport DNA,"{'x': 0, 'y': 0, 'height': 3037, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
74,https://www.nike.com/in/t/air-max-95-shoes-fk6w0s/DQ3430-001,Nike Air Max 95,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
75,https://www.nike.com/in/t/jordan-air-jordan-fleece-hoodie-v3J5HK/DO6094-612,"Jordan ""Air Jordan""","{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
76,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-rTFHwQ/CT2392-006,Nike Zoom Fly 4,"{'x': 0, 'y': 0, 'height': 3233, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
77,https://www.nike.com/in/t/jordan-essentials-t-shirt-JQXCdV/DM1436-133,Jordan Essentials,"{'x': 0, 'y': 0, 'height': 2957, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
78,https://www.nike.com/in/t/sb-ishod-wair-skate-shoes-gH9qC4/DM0752-002,Nike SB Ishod Wair Premium,"{'x': 0, 'y': 0, 'height': 3028, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
79,https://www.nike.com/in/t/sb-skate-shorts-3qcVQp/DH2940-010,Nike SB,"{'x': 0, 'y': 0, 'height': 2882, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
80,https://www.nike.com/in/t/sb-zoom-blazer-low-pro-gt-skate-shoes-xMq2vr/DM8890-400,Nike SB Zoom Blazer Low Pro GT Premium,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
81,https://www.nike.com/in/t/blazer-low-77-jumbo-shoes-mvhvNn/DQ8768-100,Nike Blazer Low '77 Jumbo,"{'x': 0, 'y': 0, 'height': 3048, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
82,https://www.nike.com/in/t/sportswear-woven-jacket-tMC7wB/DV0531-086,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
83,https://www.nike.com/in/t/kyrie-infinity-ep-basketball-shoes-QJ01t9/DC9134-102,Kyrie Infinity EP,"{'x': 0, 'y': 0, 'height': 3123, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
84,https://www.nike.com/in/t/sportswear-short-sleeve-top-L3Tchg/DM5063-113,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2804, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
85,https://www.nike.com/in/t/air-french-terry-shorts-WF9kZN/DM5212-012,Nike Air,"{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
86,https://www.nike.com/in/t/jordan-essentials-diamond-mesh-shorts-5bskxq/DM1367-010,Jordan Essentials,"{'x': 0, 'y': 0, 'height': 3751, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
87,https://www.nike.com/in/t/jordan-xii-g-golf-shoes-bwb9kV/DM0106-117,Jordan XII G,"{'x': 0, 'y': 0, 'height': 2917, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
88,https://www.nike.com/in/t/sportswear-t-shirt-0w7Qrb/DQ1054-100,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2800, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
89,https://www.nike.com/in/t/2-in-1-shorts-ScqnT4/DC5321-712,Nike,"{'x': 0, 'y': 0, 'height': 3038, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
90,https://www.nike.com/in/t/air-zoom-terra-kiger-8-trail-running-shoes-gVwLbV/DH0649-300,Nike Air Zoom Terra Kiger 8,"{'x': 0, 'y': 0, 'height': 3123, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
91,https://www.nike.com/in/t/sacai-blazer-low-shoes-gBslFL/DM6443-001,Nike x sacai Blazer Low,"{'x': 0, 'y': 0, 'height': 3937, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
92,https://www.nike.com/in/t/basketball-t-shirt-Rt8lZX/DQ1906-133,Nike,"{'x': 0, 'y': 0, 'height': 2912, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
93,https://www.nike.com/in/t/dri-fit-uv-27cm-golf-chino-shorts-lrFdWm/DA4140-297,Nike Dri-FIT UV,"{'x': 0, 'y': 0, 'height': 2880, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
94,https://www.nike.com/in/t/dunk-low-retro-shoes-DNshFj/DH0601-001,Nike Dunk Low Retro Premium,"{'x': 0, 'y': 0, 'height': 2998, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
95,https://www.nike.com/in/t/repel-miler-running-jacket-Pprnvp/DD4747-010,Nike Repel Miler,"{'x': 0, 'y': 0, 'height': 3070, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
96,https://www.nike.com/in/t/air-force-1-07-shoe-WrLlWX/CW2288-111,Nike Air Force 1 '07,"{'x': 0, 'y': 0, 'height': 3284, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
97,https://www.nike.com/in/t/air-force-1-07-craft-shoe-RxBngv/CN2873-101,Nike Air Force 1 '07 Craft,"{'x': 0, 'y': 0, 'height': 3285, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
98,https://www.nike.com/in/t/dunk-low-retro-shoes-DNshFj/DH0601-001,Nike Dunk Low Retro Premium,"{'x': 0, 'y': 0, 'height': 2998, 'width': 785}","{'x': 24, 'y': 168, 'height': 34, 'width': 729}"
99,https://www.nike.com/in/t/dunk-high-retro-se-shoes-tXRLdK/DD3359-001,Nike Dunk High Retro SE,"{'x': 0, 'y': 0, 'height': 3072, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
100,https://www.nike.com/in/t/blazer-mid-77-vintage-shoe-dNWPTj/BQ6806-117,Nike Blazer Mid '77 Vintage,"{'x': 0, 'y': 0, 'height': 3727, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
101,https://www.nike.com/in/t/air-max-90-slide-bPJh33/BQ4635-002,Nike Air Max 90,"{'x': 0, 'y': 0, 'height': 2938, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
102,https://www.nike.com/in/t/air-max-90-g-golf-shoe-qlD3wL/CU9978-002,Nike Air Max 90 G,"{'x': 0, 'y': 0, 'height': 3285, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
103,https://www.nike.com/in/t/air-force-1-luxe-shoes-651TPJ/DD9605-100,Nike Air Force 1 Luxe,"{'x': 0, 'y': 0, 'height': 3202, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
